air_op_stem,n_declares,example_declare
air.get_channel_data_type_texture_1d_array,1,declare i32 @air.get_channel_data_type_texture_1d_array(ptr addrspace(1) nocapture readonly) local_unnamed_addr #5
air.get_channel_data_type_texture_2d,1,declare i32 @air.get_channel_data_type_texture_2d(ptr addrspace(1) nocapture readonly) local_unnamed_addr #5
air.get_channel_data_type_texture_2d_array,1,declare i32 @air.get_channel_data_type_texture_2d_array(ptr addrspace(1) nocapture readonly) local_unnamed_addr #5
air.get_channel_data_type_texture_2d_ms,1,declare i32 @air.get_channel_data_type_texture_2d_ms(ptr addrspace(1) nocapture readonly) local_unnamed_addr #5
air.get_channel_data_type_texture_2d_ms_array,1,declare i32 @air.get_channel_data_type_texture_2d_ms_array(ptr addrspace(1) nocapture readonly) local_unnamed_addr #5
air.get_channel_data_type_texture_3d,1,declare i32 @air.get_channel_data_type_texture_3d(ptr addrspace(1) nocapture readonly) local_unnamed_addr #5
air.get_channel_data_type_texture_buffer_1d,1,declare i32 @air.get_channel_data_type_texture_buffer_1d(ptr addrspace(1) nocapture readonly) local_unnamed_addr #5
air.get_channel_order_depth_2d,1,declare i32 @air.get_channel_order_depth_2d(ptr addrspace(1) nocapture readonly) local_unnamed_addr #5
air.get_channel_order_depth_2d_array,1,declare i32 @air.get_channel_order_depth_2d_array(ptr addrspace(1) nocapture readonly) local_unnamed_addr #5
air.get_channel_order_depth_2d_ms,1,declare i32 @air.get_channel_order_depth_2d_ms(ptr addrspace(1) nocapture readonly) local_unnamed_addr #5
air.get_channel_order_depth_2d_ms_array,1,declare i32 @air.get_channel_order_depth_2d_ms_array(ptr addrspace(1) nocapture readonly) local_unnamed_addr #5
air.get_channel_order_texture_1d,1,declare i32 @air.get_channel_order_texture_1d(ptr addrspace(1) nocapture readonly) local_unnamed_addr #5
air.get_channel_order_texture_1d_array,1,declare i32 @air.get_channel_order_texture_1d_array(ptr addrspace(1) nocapture readonly) local_unnamed_addr #5
air.get_channel_order_texture_2d,1,declare i32 @air.get_channel_order_texture_2d(ptr addrspace(1) nocapture readonly) local_unnamed_addr #5
air.get_channel_order_texture_2d_array,1,declare i32 @air.get_channel_order_texture_2d_array(ptr addrspace(1) nocapture readonly) local_unnamed_addr #5
air.get_channel_order_texture_2d_ms,1,declare i32 @air.get_channel_order_texture_2d_ms(ptr addrspace(1) nocapture readonly) local_unnamed_addr #5
air.get_channel_order_texture_2d_ms_array,1,declare i32 @air.get_channel_order_texture_2d_ms_array(ptr addrspace(1) nocapture readonly) local_unnamed_addr #5
air.get_channel_order_texture_3d,1,declare i32 @air.get_channel_order_texture_3d(ptr addrspace(1) nocapture readonly) local_unnamed_addr #5
air.get_channel_order_texture_buffer_1d,1,declare i32 @air.get_channel_order_texture_buffer_1d(ptr addrspace(1) nocapture readonly) local_unnamed_addr #5
air.get_depth_texture_3d,1,"declare i32 @air.get_depth_texture_3d(ptr addrspace(1) nocapture readonly, i32) local_unnamed_addr #5"
air.get_function_pointer_visible_function_table,3,"declare ptr @air.get_function_pointer_visible_function_table(ptr addrspace(1) nocapture readonly, i32) local_unnamed_addr #2"
air.get_global_id,1,declare i32 @air.get_global_id.i32(i32) local_unnamed_addr #1
air.get_global_offset,1,declare i32 @air.get_global_offset.i32(i32) local_unnamed_addr #1
air.get_global_size,1,declare i32 @air.get_global_size.i32(i32) local_unnamed_addr #1
air.get_group_id,1,declare i32 @air.get_group_id.i32(i32) local_unnamed_addr #1
air.get_height_depth_2d,1,"declare i32 @air.get_height_depth_2d(ptr addrspace(1) nocapture readonly, i32) local_unnamed_addr #5"
air.get_height_depth_2d_array,1,"declare i32 @air.get_height_depth_2d_array(ptr addrspace(1) nocapture readonly, i32) local_unnamed_addr #5"
air.get_height_depth_2d_ms,1,declare i32 @air.get_height_depth_2d_ms(ptr addrspace(1) nocapture readonly) local_unnamed_addr #5
air.get_height_depth_2d_ms_array,1,declare i32 @air.get_height_depth_2d_ms_array(ptr addrspace(1) nocapture readonly) local_unnamed_addr #5
air.get_height_texture_2d,1,"declare i32 @air.get_height_texture_2d(ptr addrspace(1) nocapture readonly, i32) local_unnamed_addr #5"
air.get_height_texture_2d_array,1,"declare i32 @air.get_height_texture_2d_array(ptr addrspace(1) nocapture readonly, i32) local_unnamed_addr #5"
air.get_height_texture_2d_ms,1,declare i32 @air.get_height_texture_2d_ms(ptr addrspace(1) nocapture readonly) local_unnamed_addr #5
air.get_height_texture_2d_ms_array,1,declare i32 @air.get_height_texture_2d_ms_array(ptr addrspace(1) nocapture readonly) local_unnamed_addr #5
air.get_height_texture_3d,1,"declare i32 @air.get_height_texture_3d(ptr addrspace(1) nocapture readonly, i32) local_unnamed_addr #5"
air.get_local_id,1,declare i32 @air.get_local_id.i32(i32) local_unnamed_addr #1
air.get_local_size,1,declare i32 @air.get_local_size.i32(i32) local_unnamed_addr #1
air.get_num_groups,1,declare i32 @air.get_num_groups.i32(i32) local_unnamed_addr #1
air.get_num_samples_depth_2d_ms,1,declare i32 @air.get_num_samples_depth_2d_ms(ptr addrspace(1) nocapture readonly) local_unnamed_addr #5
air.get_num_samples_depth_2d_ms_array,1,declare i32 @air.get_num_samples_depth_2d_ms_array(ptr addrspace(1) nocapture readonly) local_unnamed_addr #5
air.get_num_samples_texture_2d_ms,1,declare i32 @air.get_num_samples_texture_2d_ms(ptr addrspace(1) nocapture readonly) local_unnamed_addr #5
air.get_num_samples_texture_2d_ms_array,1,declare i32 @air.get_num_samples_texture_2d_ms_array(ptr addrspace(1) nocapture readonly) local_unnamed_addr #5
air.get_private_data,1,declare ptr addrspace(2) @air.get_private_data() local_unnamed_addr #1
air.get_width_depth_2d,1,"declare i32 @air.get_width_depth_2d(ptr addrspace(1) nocapture readonly, i32) local_unnamed_addr #5"
air.get_width_depth_2d_array,1,"declare i32 @air.get_width_depth_2d_array(ptr addrspace(1) nocapture readonly, i32) local_unnamed_addr #5"
air.get_width_depth_2d_ms,1,declare i32 @air.get_width_depth_2d_ms(ptr addrspace(1) nocapture readonly) local_unnamed_addr #5
air.get_width_depth_2d_ms_array,1,declare i32 @air.get_width_depth_2d_ms_array(ptr addrspace(1) nocapture readonly) local_unnamed_addr #5
air.get_width_texture_1d,1,"declare i32 @air.get_width_texture_1d(ptr addrspace(1) nocapture readonly, i32) local_unnamed_addr #5"
air.get_width_texture_1d_array,1,"declare i32 @air.get_width_texture_1d_array(ptr addrspace(1) nocapture readonly, i32) local_unnamed_addr #5"
air.get_width_texture_2d,1,"declare i32 @air.get_width_texture_2d(ptr addrspace(1) nocapture readonly, i32) local_unnamed_addr #5"
air.get_width_texture_2d_array,1,"declare i32 @air.get_width_texture_2d_array(ptr addrspace(1) nocapture readonly, i32) local_unnamed_addr #5"
air.get_width_texture_2d_ms,1,declare i32 @air.get_width_texture_2d_ms(ptr addrspace(1) nocapture readonly) local_unnamed_addr #5
air.get_width_texture_2d_ms_array,1,declare i32 @air.get_width_texture_2d_ms_array(ptr addrspace(1) nocapture readonly) local_unnamed_addr #5
air.get_width_texture_3d,1,"declare i32 @air.get_width_texture_3d(ptr addrspace(1) nocapture readonly, i32) local_unnamed_addr #5"
air.get_width_texture_buffer_1d,1,declare i32 @air.get_width_texture_buffer_1d(ptr addrspace(1) nocapture readonly) local_unnamed_addr #5
air.get_work_dim,1,declare i32 @air.get_work_dim.i32() local_unnamed_addr #1
air.hadd.s,24,"declare <16 x i16> @air.hadd.s.v16i16(<16 x i16>, <16 x i16>) local_unnamed_addr #1"
air.hadd.u,24,"declare <16 x i16> @air.hadd.u.v16i16(<16 x i16>, <16 x i16>) local_unnamed_addr #1"
air.half_cos,6,declare <16 x float> @air.half_cos.v16f32(<16 x float>) local_unnamed_addr #1
air.half_exp,6,declare <16 x float> @air.half_exp.v16f32(<16 x float>) local_unnamed_addr #1
air.half_exp10,6,declare <16 x float> @air.half_exp10.v16f32(<16 x float>) local_unnamed_addr #1
air.half_exp2,6,declare <16 x float> @air.half_exp2.v16f32(<16 x float>) local_unnamed_addr #1
air.half_log,6,declare <16 x float> @air.half_log.v16f32(<16 x float>) local_unnamed_addr #1
air.half_log10,6,declare <16 x float> @air.half_log10.v16f32(<16 x float>) local_unnamed_addr #1
air.half_log2,6,declare <16 x float> @air.half_log2.v16f32(<16 x float>) local_unnamed_addr #1
air.half_powr,6,"declare <16 x float> @air.half_powr.v16f32(<16 x float>, <16 x float>) local_unnamed_addr #1"
air.half_rsqrt,6,declare <16 x float> @air.half_rsqrt.v16f32(<16 x float>) local_unnamed_addr #1
air.half_sin,6,declare <16 x float> @air.half_sin.v16f32(<16 x float>) local_unnamed_addr #1
air.half_sqrt,6,declare <16 x float> @air.half_sqrt.v16f32(<16 x float>) local_unnamed_addr #1
