air_intrinsic_declare,n_os,os_list,example_module
"declare <16 x double> @air.fmax.v16f64(<16 x double>, <16 x double>) local_unnamed_addr #1",1,osx,libopencl_rt_osx.a!common.metal.air
"declare <16 x double> @air.fmin.v16f64(<16 x double>, <16 x double>) local_unnamed_addr #1",1,osx,libopencl_rt_osx.a!common.metal.air
"declare <16 x double> @air.fmod.v16f64(<16 x double>, <16 x double>) local_unnamed_addr #1",1,osx,libopencl_rt_osx.a!math-default.metal.air
declare <16 x double> @air.fract.v16f64(<16 x double>) local_unnamed_addr #1,1,osx,libopencl_rt_osx.a!math-default.metal.air
"declare <16 x double> @air.hypot.v16f64(<16 x double>, <16 x double>) local_unnamed_addr #1",1,osx,libopencl_rt_osx.a!math-default.metal.air
"declare <16 x double> @air.ldexp.v16f64(<16 x double>, <16 x i32>) local_unnamed_addr #1",1,osx,libopencl_rt_osx.a!math-default.metal.air
declare <16 x double> @air.lgamma.v16f64(<16 x double>) local_unnamed_addr #1,1,osx,libopencl_rt_osx.a!math-default.metal.air
"declare <16 x double> @air.lgamma_r.v16f64(<16 x double>, ptr nocapture writeonly) local_unnamed_addr #50",1,osx,libopencl_rt_osx.a!math-default.metal.air
"declare <16 x double> @air.lgamma_r.v16f64(<16 x double>, ptr nocapture writeonly) local_unnamed_addr #56",1,osx,libopencl_rt_osx_fast-relaxed-math.a!math-fast-relaxed-math.metal.air
declare <16 x double> @air.log.v16f64(<16 x double>) local_unnamed_addr #1,1,osx,libopencl_rt_osx.a!math-default.metal.air
declare <16 x double> @air.log10.v16f64(<16 x double>) local_unnamed_addr #1,1,osx,libopencl_rt_osx.a!math-default.metal.air
declare <16 x double> @air.log1p.v16f64(<16 x double>) local_unnamed_addr #1,1,osx,libopencl_rt_osx.a!math-default.metal.air
declare <16 x double> @air.log2.v16f64(<16 x double>) local_unnamed_addr #1,1,osx,libopencl_rt_osx.a!math-default.metal.air
declare <16 x double> @air.logb.v16f64(<16 x double>) local_unnamed_addr #1,1,osx,libopencl_rt_osx.a!math-default.metal.air
"declare <16 x double> @air.mad.v16f64(<16 x double>, <16 x double>, <16 x double>) local_unnamed_addr #1",1,osx,libopencl_rt_osx.a!math-default.metal.air
"declare <16 x double> @air.mix.v16f64(<16 x double>, <16 x double>, <16 x double>) local_unnamed_addr #1",1,osx,libopencl_rt_osx.a!common.metal.air
"declare <16 x double> @air.nextafter.v16f64(<16 x double>, <16 x double>) local_unnamed_addr #1",1,osx,libopencl_rt_osx.a!math-default.metal.air
"declare <16 x double> @air.pow.v16f64(<16 x double>, <16 x double>) local_unnamed_addr #1",1,osx,libopencl_rt_osx.a!math-default.metal.air
"declare <16 x double> @air.pown.v16f64(<16 x double>, <16 x i32>) local_unnamed_addr #1",1,osx,libopencl_rt_osx.a!math-default.metal.air
"declare <16 x double> @air.powr.v16f64(<16 x double>, <16 x double>) local_unnamed_addr #1",1,osx,libopencl_rt_osx.a!math-default.metal.air
"declare <16 x double> @air.remainder.v16f64(<16 x double>, <16 x double>) local_unnamed_addr #1",1,osx,libopencl_rt_osx.a!math-default.metal.air
"declare <16 x double> @air.remquo.v16f64(<16 x double>, <16 x double>, ptr nocapture writeonly) local_unnamed_addr #50",1,osx,libopencl_rt_osx.a!math-default.metal.air
"declare <16 x double> @air.remquo.v16f64(<16 x double>, <16 x double>, ptr nocapture writeonly) local_unnamed_addr #56",1,osx,libopencl_rt_osx_fast-relaxed-math.a!math-fast-relaxed-math.metal.air
declare <16 x double> @air.rint.v16f64(<16 x double>) local_unnamed_addr #1,1,osx,libopencl_rt_osx.a!math-default.metal.air
"declare <16 x double> @air.rootn.v16f64(<16 x double>, <16 x i32>) local_unnamed_addr #1",1,osx,libopencl_rt_osx.a!math-default.metal.air
declare <16 x double> @air.round.v16f64(<16 x double>) local_unnamed_addr #1,1,osx,libopencl_rt_osx.a!math-default.metal.air
declare <16 x double> @air.rsqrt.v16f64(<16 x double>) local_unnamed_addr #1,1,osx,libopencl_rt_osx.a!math-default.metal.air
"declare <16 x double> @air.shuffle.v16f64.v16f64.v16i64(<16 x double>, <16 x i64>) local_unnamed_addr #1",1,osx,libopencl_rt_osx.a!misc-vector.metal.air
"declare <16 x double> @air.shuffle.v16f64.v2f64.v16i64(<2 x double>, <16 x i64>) local_unnamed_addr #1",1,osx,libopencl_rt_osx.a!misc-vector.metal.air
"declare <16 x double> @air.shuffle.v16f64.v4f64.v16i64(<4 x double>, <16 x i64>) local_unnamed_addr #1",1,osx,libopencl_rt_osx.a!misc-vector.metal.air
"declare <16 x double> @air.shuffle.v16f64.v8f64.v16i64(<8 x double>, <16 x i64>) local_unnamed_addr #1",1,osx,libopencl_rt_osx.a!misc-vector.metal.air
"declare <16 x double> @air.shuffle2.v16f64.v16f64.v16i64(<16 x double>, <16 x double>, <16 x i64>) local_unnamed_addr #1",1,osx,libopencl_rt_osx.a!misc-vector.metal.air
"declare <16 x double> @air.shuffle2.v16f64.v2f64.v16i64(<2 x double>, <2 x double>, <16 x i64>) local_unnamed_addr #1",1,osx,libopencl_rt_osx.a!misc-vector.metal.air
"declare <16 x double> @air.shuffle2.v16f64.v4f64.v16i64(<4 x double>, <4 x double>, <16 x i64>) local_unnamed_addr #1",1,osx,libopencl_rt_osx.a!misc-vector.metal.air
"declare <16 x double> @air.shuffle2.v16f64.v8f64.v16i64(<8 x double>, <8 x double>, <16 x i64>) local_unnamed_addr #1",1,osx,libopencl_rt_osx.a!misc-vector.metal.air
declare <16 x double> @air.sign.v16f64(<16 x double>) local_unnamed_addr #1,1,osx,libopencl_rt_osx.a!common.metal.air
declare <16 x double> @air.sin.v16f64(<16 x double>) local_unnamed_addr #1,1,osx,libopencl_rt_osx.a!math-default.metal.air
"declare <16 x double> @air.sincos.v16f64(<16 x double>, ptr nocapture writeonly) local_unnamed_addr #50",1,osx,libopencl_rt_osx.a!math-default.metal.air
"declare <16 x double> @air.sincos.v16f64(<16 x double>, ptr nocapture writeonly) local_unnamed_addr #56",1,osx,libopencl_rt_osx_fast-relaxed-math.a!math-fast-relaxed-math.metal.air
declare <16 x double> @air.sinh.v16f64(<16 x double>) local_unnamed_addr #1,1,osx,libopencl_rt_osx.a!math-default.metal.air
declare <16 x double> @air.sinpi.v16f64(<16 x double>) local_unnamed_addr #1,1,osx,libopencl_rt_osx.a!math-default.metal.air
declare <16 x double> @air.sqrt.v16f64(<16 x double>) local_unnamed_addr #1,1,osx,libopencl_rt_osx.a!math-default.metal.air
declare <16 x double> @air.tan.v16f64(<16 x double>) local_unnamed_addr #1,1,osx,libopencl_rt_osx.a!math-default.metal.air
declare <16 x double> @air.tanh.v16f64(<16 x double>) local_unnamed_addr #1,1,osx,libopencl_rt_osx.a!math-default.metal.air
declare <16 x double> @air.tanpi.v16f64(<16 x double>) local_unnamed_addr #1,1,osx,libopencl_rt_osx.a!math-default.metal.air
declare <16 x double> @air.tgamma.v16f64(<16 x double>) local_unnamed_addr #1,1,osx,libopencl_rt_osx.a!math-default.metal.air
declare <16 x double> @air.trunc.v16f64(<16 x double>) local_unnamed_addr #1,1,osx,libopencl_rt_osx.a!math-default.metal.air
"declare <16 x double> @air.vload.constant.v16f64(i64, ptr addrspace(2) nocapture readonly) local_unnamed_addr #1",1,osx,libopencl_rt_osx.a!vector-data-load-and-store.metal.air
"declare <16 x double> @air.vload.global.v16f64(i64, ptr addrspace(1) nocapture readonly) local_unnamed_addr #1",1,osx,libopencl_rt_osx.a!vector-data-load-and-store.metal.air
"declare <16 x double> @air.vload.local.v16f64(i64, ptr addrspace(3) nocapture readonly) local_unnamed_addr #1",1,osx,libopencl_rt_osx.a!vector-data-load-and-store.metal.air
"declare <16 x double> @air.vload.private.v16f64(i64, ptr nocapture readonly) local_unnamed_addr #1",1,osx,libopencl_rt_osx.a!vector-data-load-and-store.metal.air
declare <16 x float> @air.acos.v16f32(<16 x float>) local_unnamed_addr #1,1,osx,libopencl_rt_osx.a!math-default.metal.air
declare <16 x float> @air.acosh.v16f32(<16 x float>) local_unnamed_addr #1,1,osx,libopencl_rt_osx.a!math-default.metal.air
declare <16 x float> @air.acospi.v16f32(<16 x float>) local_unnamed_addr #1,1,osx,libopencl_rt_osx.a!math-default.metal.air
declare <16 x float> @air.asin.v16f32(<16 x float>) local_unnamed_addr #1,1,osx,libopencl_rt_osx.a!math-default.metal.air
declare <16 x float> @air.asinh.v16f32(<16 x float>) local_unnamed_addr #1,1,osx,libopencl_rt_osx.a!math-default.metal.air
declare <16 x float> @air.asinpi.v16f32(<16 x float>) local_unnamed_addr #1,1,osx,libopencl_rt_osx.a!math-default.metal.air
declare <16 x float> @air.atan.v16f32(<16 x float>) local_unnamed_addr #1,1,osx,libopencl_rt_osx.a!math-default.metal.air
"declare <16 x float> @air.atan2.v16f32(<16 x float>, <16 x float>) local_unnamed_addr #1",1,osx,libopencl_rt_osx.a!math-default.metal.air
"declare <16 x float> @air.atan2pi.v16f32(<16 x float>, <16 x float>) local_unnamed_addr #1",1,osx,libopencl_rt_osx.a!math-default.metal.air
declare <16 x float> @air.atanh.v16f32(<16 x float>) local_unnamed_addr #1,1,osx,libopencl_rt_osx.a!math-default.metal.air
declare <16 x float> @air.atanpi.v16f32(<16 x float>) local_unnamed_addr #1,1,osx,libopencl_rt_osx.a!math-default.metal.air
declare <16 x float> @air.cbrt.v16f32(<16 x float>) local_unnamed_addr #1,1,osx,libopencl_rt_osx.a!math-default.metal.air
declare <16 x float> @air.ceil.v16f32(<16 x float>) local_unnamed_addr #1,1,osx,libopencl_rt_osx.a!math-default.metal.air
"declare <16 x float> @air.clamp.v16f32(<16 x float>, <16 x float>, <16 x float>) local_unnamed_addr #1",1,osx,libopencl_rt_osx.a!common.metal.air
declare <16 x float> @air.convert.f.v16f32.f.v16f16.rte(<16 x half>) local_unnamed_addr #2,1,osx,libopencl_rt_osx.a!explicit-conversions.metal.air
declare <16 x float> @air.convert.f.v16f32.f.v16f16.rtn(<16 x half>) local_unnamed_addr #2,1,osx,libopencl_rt_osx.a!explicit-conversions.metal.air
declare <16 x float> @air.convert.f.v16f32.f.v16f16.rtp(<16 x half>) local_unnamed_addr #2,1,osx,libopencl_rt_osx.a!explicit-conversions.metal.air
declare <16 x float> @air.convert.f.v16f32.f.v16f16.rtz(<16 x half>) local_unnamed_addr #2,1,osx,libopencl_rt_osx.a!explicit-conversions.metal.air
declare <16 x float> @air.convert.f.v16f32.f.v16f64.rte(<16 x double>) local_unnamed_addr #2,1,osx,libopencl_rt_osx.a!explicit-conversions.metal.air
declare <16 x float> @air.convert.f.v16f32.f.v16f64.rtn(<16 x double>) local_unnamed_addr #2,1,osx,libopencl_rt_osx.a!explicit-conversions.metal.air
declare <16 x float> @air.convert.f.v16f32.f.v16f64.rtp(<16 x double>) local_unnamed_addr #2,1,osx,libopencl_rt_osx.a!explicit-conversions.metal.air
declare <16 x float> @air.convert.f.v16f32.f.v16f64.rtz(<16 x double>) local_unnamed_addr #2,1,osx,libopencl_rt_osx.a!explicit-conversions.metal.air
declare <16 x float> @air.convert.f.v16f32.s.v16i16.rte(<16 x i16>) local_unnamed_addr #2,1,osx,libopencl_rt_osx.a!explicit-conversions.metal.air
declare <16 x float> @air.convert.f.v16f32.s.v16i16.rtn(<16 x i16>) local_unnamed_addr #2,1,osx,libopencl_rt_osx.a!explicit-conversions.metal.air
declare <16 x float> @air.convert.f.v16f32.s.v16i16.rtp(<16 x i16>) local_unnamed_addr #2,1,osx,libopencl_rt_osx.a!explicit-conversions.metal.air
declare <16 x float> @air.convert.f.v16f32.s.v16i16.rtz(<16 x i16>) local_unnamed_addr #2,1,osx,libopencl_rt_osx.a!explicit-conversions.metal.air
declare <16 x float> @air.convert.f.v16f32.s.v16i32.rte(<16 x i32>) local_unnamed_addr #2,1,osx,libopencl_rt_osx.a!explicit-conversions.metal.air
declare <16 x float> @air.convert.f.v16f32.s.v16i32.rtn(<16 x i32>) local_unnamed_addr #2,1,osx,libopencl_rt_osx.a!explicit-conversions.metal.air
declare <16 x float> @air.convert.f.v16f32.s.v16i32.rtp(<16 x i32>) local_unnamed_addr #2,1,osx,libopencl_rt_osx.a!explicit-conversions.metal.air
declare <16 x float> @air.convert.f.v16f32.s.v16i32.rtz(<16 x i32>) local_unnamed_addr #2,1,osx,libopencl_rt_osx.a!explicit-conversions.metal.air
declare <16 x float> @air.convert.f.v16f32.s.v16i64.rte(<16 x i64>) local_unnamed_addr #2,1,osx,libopencl_rt_osx.a!explicit-conversions.metal.air
declare <16 x float> @air.convert.f.v16f32.s.v16i64.rtn(<16 x i64>) local_unnamed_addr #2,1,osx,libopencl_rt_osx.a!explicit-conversions.metal.air
declare <16 x float> @air.convert.f.v16f32.s.v16i64.rtp(<16 x i64>) local_unnamed_addr #2,1,osx,libopencl_rt_osx.a!explicit-conversions.metal.air
declare <16 x float> @air.convert.f.v16f32.s.v16i64.rtz(<16 x i64>) local_unnamed_addr #2,1,osx,libopencl_rt_osx.a!explicit-conversions.metal.air
declare <16 x float> @air.convert.f.v16f32.s.v16i8.rte(<16 x i8>) local_unnamed_addr #2,1,osx,libopencl_rt_osx.a!explicit-conversions.metal.air
declare <16 x float> @air.convert.f.v16f32.s.v16i8.rtn(<16 x i8>) local_unnamed_addr #2,1,osx,libopencl_rt_osx.a!explicit-conversions.metal.air
