cell,scene,air_candidate,stage1_source,probe_method
__metal_atomic_fetch_sub_explicit_texture_2d_t,P06,air.atomic_fetch_sub_explicit_texture_2d,manual_needed,"__bits/metal_texture2d:1894: return __metal_atomic_fetch_sub_explicit_texture_2d_t(derived.t, coord, ushort2(0), operand"
__metal_atomic_fetch_sub_explicit_texture_3d_t,P06,air.atomic_fetch_sub_explicit_texture_3d,manual_needed,"__bits/metal_texture3d:1780: return __metal_atomic_fetch_sub_explicit_texture_3d_t(derived.t, coord, ushort3(0), operand"
__metal_atomic_fetch_sub_explicit_texture_buffer_1d_t,P06,air.atomic_fetch_sub_explicit_texture_buffer_1d,manual_needed,"__bits/metal_texture_buffer:887: return __metal_atomic_fetch_sub_explicit_texture_buffer_1d_t(derived.t, coord, operand,"
__metal_atomic_fetch_sub_explicit_texture_cube_array_t,P06,air.atomic_fetch_sub_explicit_texture_cube_array,manual_needed,"__bits/metal_texturecube_array:1904: return __metal_atomic_fetch_sub_explicit_texture_cube_array_t(derived.t, coord, fac"
__metal_atomic_fetch_sub_explicit_texture_cube_t,P06,air.atomic_fetch_sub_explicit_texture_cube,manual_needed,"__bits/metal_texturecube:1907: return __metal_atomic_fetch_sub_explicit_texture_cube_t(derived.t, coord, face, operand, "
__metal_atomic_fetch_xor_explicit,P07,air.atomic.fetch.xor,manual_needed,"metal_atomic:617: return __metal_atomic_fetch_xor_explicit(&object->__s, T(operand), int(order), __METAL_MEMORY_SCOPE_TH"
__metal_atomic_fetch_xor_explicit_texture_1d_array_t,P06,air.atomic_fetch_xor_explicit_texture_1d_array,manual_needed,"__bits/metal_texture1d_array:916: return __metal_atomic_fetch_xor_explicit_texture_1d_array_t(derived.t, coord, array, o"
__metal_atomic_fetch_xor_explicit_texture_1d_t,P06,air.atomic_fetch_xor_explicit_texture_1d,manual_needed,"__bits/metal_texture1d:916: return __metal_atomic_fetch_xor_explicit_texture_1d_t(derived.t, coord, operand, __METAL_MEM"
__metal_atomic_fetch_xor_explicit_texture_2d_array_t,P06,air.atomic_fetch_xor_explicit_texture_2d_array,manual_needed,"__bits/metal_texture2d_array:1592: return __metal_atomic_fetch_xor_explicit_texture_2d_array_t(derived.t, coord, array, "
__metal_atomic_fetch_xor_explicit_texture_2d_t,P06,air.atomic_fetch_xor_explicit_texture_2d,manual_needed,"__bits/metal_texture2d:1604: return __metal_atomic_fetch_xor_explicit_texture_2d_t(derived.t, coord, ushort2(0), operand"
__metal_atomic_fetch_xor_explicit_texture_3d_t,P06,air.atomic_fetch_xor_explicit_texture_3d,manual_needed,"__bits/metal_texture3d:1490: return __metal_atomic_fetch_xor_explicit_texture_3d_t(derived.t, coord, ushort3(0), operand"
__metal_atomic_fetch_xor_explicit_texture_buffer_1d_t,P06,air.atomic_fetch_xor_explicit_texture_buffer_1d,manual_needed,"__bits/metal_texture_buffer:582: return __metal_atomic_fetch_xor_explicit_texture_buffer_1d_t(derived.t, coord, operand,"
__metal_atomic_fetch_xor_explicit_texture_cube_array_t,P06,air.atomic_fetch_xor_explicit_texture_cube_array,manual_needed,"__bits/metal_texturecube_array:1599: return __metal_atomic_fetch_xor_explicit_texture_cube_array_t(derived.t, coord, fac"
__metal_atomic_fetch_xor_explicit_texture_cube_t,P06,air.atomic_fetch_xor_explicit_texture_cube,manual_needed,"__bits/metal_texturecube:1602: return __metal_atomic_fetch_xor_explicit_texture_cube_t(derived.t, coord, face, operand, "
__metal_atomic_load_explicit,P07,air.atomic.load,manual_needed,"metal_atomic:244: return T(__metal_atomic_load_explicit(&object->__s, int(order), __METAL_MEMORY_SCOPE_THREADGROUP__));"
__metal_atomic_load_explicit_texture_1d_array_t,P06,air.atomic_load_explicit_texture_1d_array,manual_needed,"__bits/metal_texture1d_array:576: return __metal_atomic_load_explicit_texture_1d_array_t(derived.t, coord, array, __META"
__metal_atomic_load_explicit_texture_1d_t,P06,air.atomic_load_explicit_texture_1d,manual_needed,"__bits/metal_texture1d:576: return __metal_atomic_load_explicit_texture_1d_t(derived.t, coord, __METAL_MEMORY_ORDER_RELA"
__metal_atomic_load_explicit_texture_2d_array_t,P06,air.atomic_load_explicit_texture_2d_array,manual_needed,"__bits/metal_texture2d_array:1232: return __metal_atomic_load_explicit_texture_2d_array_t(derived.t, coord, array, ushor"
__metal_atomic_load_explicit_texture_2d_t,P06,air.atomic_load_explicit_texture_2d,manual_needed,"__bits/metal_texture2d:1244: return __metal_atomic_load_explicit_texture_2d_t(derived.t, coord, ushort2(0), __METAL_MEMO"
__metal_atomic_load_explicit_texture_3d_t,P06,air.atomic_load_explicit_texture_3d,manual_needed,"__bits/metal_texture3d:1130: return __metal_atomic_load_explicit_texture_3d_t(derived.t, coord, ushort3(0), __METAL_MEMO"
