msl_api_signature,namespace,guard,class,metal_builtins,clang_builtins,file,line
half16 exp10(half16 x),metal,__HAVE_NATIVE_WIDE_VECTORS__,builtin_direct,__metal_exp10,,metal_math,4409
half16 exp2(half16 x),metal,__HAVE_NATIVE_WIDE_VECTORS__,builtin_direct,__metal_exp2,,metal_math,4413
half16 fabs(half16 x),metal,__HAVE_NATIVE_WIDE_VECTORS__,builtin_direct,__metal_fabs,,metal_math,4417
"half16 fdim(half16 x, half16 y)",metal,__HAVE_NATIVE_WIDE_VECTORS__,builtin_direct,__metal_select,,metal_math,4421
half16 floor(half16 x),metal,__HAVE_NATIVE_WIDE_VECTORS__,builtin_direct,__metal_floor,,metal_math,4427
"half16 fma(half16 x, half16 y, half16 z)",metal,__HAVE_NATIVE_WIDE_VECTORS__|__HAVE_FMA__,builtin_direct,__metal_fma,,metal_math,4432
"half16 fmax(half16 x, half16 y)",metal,__HAVE_NATIVE_WIDE_VECTORS__,builtin_direct,__metal_fmax,,metal_math,4437
"half16 fmax3(half16 x, half16 y, half16 z)",metal,__HAVE_NATIVE_WIDE_VECTORS__|__HAVE_FMAX3__,builtin_direct,__metal_fmax3,,metal_math,4442
"half16 fmedian3(half16 x, half16 y, half16 z)",metal,__HAVE_NATIVE_WIDE_VECTORS__|__HAVE_FMEDIAN3__,builtin_direct,__metal_fmedian3,,metal_math,4448
"half16 fmin(half16 x, half16 y)",metal,__HAVE_NATIVE_WIDE_VECTORS__,builtin_direct,__metal_fmin,,metal_math,4453
"half16 fmin3(half16 x, half16 y, half16 z)",metal,__HAVE_NATIVE_WIDE_VECTORS__|__HAVE_FMIN3__,builtin_direct,__metal_fmin3,,metal_math,4458
"half16 fmod(half16 x, half16 y)",metal,__HAVE_NATIVE_WIDE_VECTORS__,builtin_direct,__metal_fmod,,metal_math,4463
half16 fract(half16 x),metal,__HAVE_NATIVE_WIDE_VECTORS__,builtin_direct,__metal_fract,,metal_math,4467
"half16 frexp(half16 x, thread int16 &exp)",metal,__HAVE_NATIVE_WIDE_VECTORS__,builtin_direct,__metal_frexp,,metal_math,4471
int16 ilogb(half16 x),metal,__HAVE_NATIVE_WIDE_VECTORS__,builtin_direct,__metal_ilogb,,metal_math,4475
"half16 ldexp(half16 x, int16 k)",metal,__HAVE_NATIVE_WIDE_VECTORS__,builtin_direct,__metal_ldexp,,metal_math,4479
half16 log(half16 x),metal,__HAVE_NATIVE_WIDE_VECTORS__,builtin_direct,__metal_log,,metal_math,4483
half16 log10(half16 x),metal,__HAVE_NATIVE_WIDE_VECTORS__,builtin_direct,__metal_log10,,metal_math,4487
half16 log2(half16 x),metal,__HAVE_NATIVE_WIDE_VECTORS__,builtin_direct,__metal_log2,,metal_math,4491
"half16 max(half16 x, half16 y)",metal,__HAVE_NATIVE_WIDE_VECTORS__,builtin_direct,__metal_fmax,,metal_math,4495
