scene,file,symbol,builtin,stage1_source
P06,probe.metal,,__metal_atomic_fetch_min_explicit_texture_cube_t,manual_needed
P07,probe.metal,,__metal_atomic_fetch_or_explicit,manual_needed
P06,probe.metal,,__metal_atomic_fetch_or_explicit_texture_1d_array_t,manual_needed
P06,probe.metal,,__metal_atomic_fetch_or_explicit_texture_1d_t,manual_needed
P06,probe.metal,,__metal_atomic_fetch_or_explicit_texture_2d_array_t,manual_needed
P06,probe.metal,,__metal_atomic_fetch_or_explicit_texture_2d_t,manual_needed
P06,probe.metal,,__metal_atomic_fetch_or_explicit_texture_3d_t,manual_needed
P06,probe.metal,,__metal_atomic_fetch_or_explicit_texture_buffer_1d_t,manual_needed
P06,probe.metal,,__metal_atomic_fetch_or_explicit_texture_cube_array_t,manual_needed
P06,probe.metal,,__metal_atomic_fetch_or_explicit_texture_cube_t,manual_needed
P07,probe.metal,,__metal_atomic_fetch_sub_explicit,manual_needed
P06,probe.metal,,__metal_atomic_fetch_sub_explicit_texture_1d_array_t,manual_needed
P06,probe.metal,,__metal_atomic_fetch_sub_explicit_texture_1d_t,manual_needed
P06,probe.metal,,__metal_atomic_fetch_sub_explicit_texture_2d_array_t,manual_needed
P06,probe.metal,,__metal_atomic_fetch_sub_explicit_texture_2d_t,manual_needed
P06,probe.metal,,__metal_atomic_fetch_sub_explicit_texture_3d_t,manual_needed
P06,probe.metal,,__metal_atomic_fetch_sub_explicit_texture_buffer_1d_t,manual_needed
P06,probe.metal,,__metal_atomic_fetch_sub_explicit_texture_cube_array_t,manual_needed
P06,probe.metal,,__metal_atomic_fetch_sub_explicit_texture_cube_t,manual_needed
P07,probe.metal,,__metal_atomic_fetch_xor_explicit,manual_needed
P06,probe.metal,,__metal_atomic_fetch_xor_explicit_texture_1d_array_t,manual_needed
P06,probe.metal,,__metal_atomic_fetch_xor_explicit_texture_1d_t,manual_needed
P06,probe.metal,,__metal_atomic_fetch_xor_explicit_texture_2d_array_t,manual_needed
P06,probe.metal,,__metal_atomic_fetch_xor_explicit_texture_2d_t,manual_needed
P06,probe.metal,,__metal_atomic_fetch_xor_explicit_texture_3d_t,manual_needed
P06,probe.metal,,__metal_atomic_fetch_xor_explicit_texture_buffer_1d_t,manual_needed
P06,probe.metal,,__metal_atomic_fetch_xor_explicit_texture_cube_array_t,manual_needed
P06,probe.metal,,__metal_atomic_fetch_xor_explicit_texture_cube_t,manual_needed
P07,probe.metal,,__metal_atomic_load_explicit,manual_needed
P06,probe.metal,,__metal_atomic_load_explicit_texture_1d_array_t,manual_needed
P06,probe.metal,,__metal_atomic_load_explicit_texture_1d_t,manual_needed
P06,probe.metal,,__metal_atomic_load_explicit_texture_2d_array_t,manual_needed
P06,probe.metal,,__metal_atomic_load_explicit_texture_2d_t,manual_needed
P06,probe.metal,,__metal_atomic_load_explicit_texture_3d_t,manual_needed
P06,probe.metal,,__metal_atomic_load_explicit_texture_buffer_1d_t,manual_needed
P06,probe.metal,,__metal_atomic_load_explicit_texture_cube_array_t,manual_needed
P06,probe.metal,,__metal_atomic_load_explicit_texture_cube_t,manual_needed
P07,probe.metal,,__metal_atomic_max_explicit,manual_needed
P06,probe.metal,,__metal_atomic_max_explicit_texture_1d_array_t,manual_needed
P06,probe.metal,,__metal_atomic_max_explicit_texture_1d_t,manual_needed
P06,probe.metal,,__metal_atomic_max_explicit_texture_2d_array_t,manual_needed
P06,probe.metal,,__metal_atomic_max_explicit_texture_2d_t,manual_needed
P06,probe.metal,,__metal_atomic_max_explicit_texture_3d_t,manual_needed
P06,probe.metal,,__metal_atomic_max_explicit_texture_buffer_1d_t,manual_needed
P06,probe.metal,,__metal_atomic_max_explicit_texture_cube_array_t,manual_needed
P06,probe.metal,,__metal_atomic_max_explicit_texture_cube_t,manual_needed
P07,probe.metal,,__metal_atomic_min_explicit,manual_needed
P06,probe.metal,,__metal_atomic_min_explicit_texture_1d_array_t,manual_needed
P06,probe.metal,,__metal_atomic_min_explicit_texture_1d_t,manual_needed
P06,probe.metal,,__metal_atomic_min_explicit_texture_2d_array_t,manual_needed
P06,probe.metal,,__metal_atomic_min_explicit_texture_2d_t,manual_needed
P06,probe.metal,,__metal_atomic_min_explicit_texture_3d_t,manual_needed
P06,probe.metal,,__metal_atomic_min_explicit_texture_buffer_1d_t,manual_needed
P06,probe.metal,,__metal_atomic_min_explicit_texture_cube_array_t,manual_needed
P06,probe.metal,,__metal_atomic_min_explicit_texture_cube_t,manual_needed
P07,probe.metal,,__metal_atomic_store_explicit,manual_needed
P06,probe.metal,,__metal_atomic_store_explicit_texture_1d_array_t,manual_needed
P06,probe.metal,,__metal_atomic_store_explicit_texture_1d_t,manual_needed
P06,probe.metal,,__metal_atomic_store_explicit_texture_2d_array_t,manual_needed
P06,probe.metal,,__metal_atomic_store_explicit_texture_2d_t,manual_needed
P06,probe.metal,,__metal_atomic_store_explicit_texture_3d_t,manual_needed
P06,probe.metal,,__metal_atomic_store_explicit_texture_buffer_1d_t,manual_needed
P06,probe.metal,,__metal_atomic_store_explicit_texture_cube_array_t,manual_needed
P06,probe.metal,,__metal_atomic_store_explicit_texture_cube_t,manual_needed
P06,probe.metal,,__metal_calculate_clamped_lod_depth_2d_array_t,manual_needed
P06,probe.metal,,__metal_calculate_clamped_lod_depth_2d_t,manual_needed
P06,probe.metal,,__metal_calculate_clamped_lod_depth_cube_array_t,manual_needed
P06,probe.metal,,__metal_calculate_clamped_lod_depth_cube_t,manual_needed
P06,probe.metal,,__metal_calculate_clamped_lod_texture_2d_array_t,manual_needed
P06,probe.metal,,__metal_calculate_clamped_lod_texture_2d_t,manual_needed
P06,probe.metal,,__metal_calculate_clamped_lod_texture_3d_t,manual_needed
P06,probe.metal,,__metal_calculate_clamped_lod_texture_cube_array_t,manual_needed
P06,probe.metal,,__metal_calculate_clamped_lod_texture_cube_t,manual_needed
P06,probe.metal,,__metal_calculate_unclamped_lod_depth_2d_array_t,manual_needed
P06,probe.metal,,__metal_calculate_unclamped_lod_depth_2d_t,manual_needed
P06,probe.metal,,__metal_calculate_unclamped_lod_depth_cube_array_t,manual_needed
P06,probe.metal,,__metal_calculate_unclamped_lod_depth_cube_t,manual_needed
P06,probe.metal,,__metal_calculate_unclamped_lod_texture_2d_array_t,manual_needed
P06,probe.metal,,__metal_calculate_unclamped_lod_texture_2d_t,manual_needed
P06,probe.metal,,__metal_calculate_unclamped_lod_texture_3d_t,manual_needed
P06,probe.metal,,__metal_calculate_unclamped_lod_texture_cube_array_t,manual_needed
P06,probe.metal,,__metal_calculate_unclamped_lod_texture_cube_t,manual_needed
UNASSIGNED,probe.metal,,__metal_clear_barrier_compute_command,manual_needed
UNASSIGNED,probe.metal,,__metal_clear_barrier_render_command,manual_needed
UNASSIGNED,probe.metal,,__metal_command_buffer_t,manual_needed
P10,probe.metal,,__metal_commit_bounding_box_intersection_intersection_query,manual_needed
P10,probe.metal,,__metal_commit_curve_intersection_intersection_query,manual_needed
P10,probe.metal,,__metal_commit_triangle_intersection_intersection_query,manual_needed
UNASSIGNED,probe.metal,,__metal_compute_pipeline_state_t,manual_needed
UNASSIGNED,probe.metal,,__metal_concurrent_dispatch_threadgroups_compute_command,manual_needed
UNASSIGNED,probe.metal,,__metal_concurrent_dispatch_threads_compute_command,manual_needed
UNASSIGNED,probe.metal,,__metal_copy_compute_command,manual_needed
UNASSIGNED,probe.metal,,__metal_copy_render_command,manual_needed
P06,probe.metal,,__metal_depth_2d_array_t,manual_needed
P06,probe.metal,,__metal_depth_2d_ms_array_t,manual_needed
P06,probe.metal,,__metal_depth_2d_ms_t,manual_needed
P06,probe.metal,,__metal_depth_2d_t,manual_needed
P06,probe.metal,,__metal_depth_cube_array_t,manual_needed
P06,probe.metal,,__metal_depth_cube_t,manual_needed
UNASSIGNED,probe.metal,,__metal_depth_stencil_state_t,manual_needed
P11,probe.metal,,__metal_descriptor_size_tensor,manual_needed
P06,probe.metal,,__metal_dfdx,manual_needed
P06,probe.metal,,__metal_dfdy,manual_needed
P06,probe.metal,,__metal_discard_fragment,manual_needed
P03,probe.metal,probe_p03_divide,__metal_divide,auto_wrapper
UNASSIGNED,probe.metal,,__metal_draw_indexed_patches_render_command,manual_needed
UNASSIGNED,probe.metal,,__metal_draw_indexed_primitives_render_command,manual_needed
UNASSIGNED,probe.metal,,__metal_draw_mesh_threadgroups_render_command,manual_needed
UNASSIGNED,probe.metal,,__metal_draw_mesh_threads_render_command,manual_needed
UNASSIGNED,probe.metal,,__metal_draw_patches_render_command,manual_needed
UNASSIGNED,probe.metal,,__metal_draw_primitives_render_command,manual_needed
P04,probe.metal,probe_p04_extract_bits,__metal_extract_bits,auto_wrapper
P03,probe.metal,probe_p03_fmax3,__metal_fmax3,auto_wrapper
P03,probe.metal,probe_p03_fmedian3,__metal_fmedian3,auto_wrapper
P03,probe.metal,probe_p03_fmin3,__metal_fmin3,auto_wrapper
P03,probe.metal,,__metal_frexp,manual_needed
P10,probe.metal,,__metal_function_handle_t,manual_needed
P06,probe.metal,,__metal_fwidth,manual_needed
P06,probe.metal,,__metal_gather_compare_depth_2d_array_t,manual_needed
P06,probe.metal,,__metal_gather_compare_depth_2d_t,manual_needed
P06,probe.metal,,__metal_gather_compare_depth_cube_array_t,manual_needed
P06,probe.metal,,__metal_gather_compare_depth_cube_t,manual_needed
P06,probe.metal,,__metal_gather_depth_2d_array_t,manual_needed
P06,probe.metal,,__metal_gather_depth_2d_t,manual_needed
P06,probe.metal,,__metal_gather_depth_cube_array_t,manual_needed
P06,probe.metal,,__metal_gather_depth_cube_t,manual_needed
P06,probe.metal,,__metal_get_array_size_depth_2d_array_t,manual_needed
P06,probe.metal,,__metal_get_array_size_depth_2d_ms_array_t,manual_needed
P06,probe.metal,,__metal_get_array_size_depth_cube_array_t,manual_needed
P06,probe.metal,,__metal_get_array_size_texture_cube_array_t,manual_needed
P10,probe.metal,,__metal_get_buffer_intersection_function_table,manual_needed
P10,probe.metal,,__metal_get_candidate_curve_distance_intersection_query,manual_needed
P10,probe.metal,,__metal_get_candidate_curve_parameter_intersection_query,manual_needed
P10,probe.metal,,__metal_get_candidate_geometry_id_intersection_query,manual_needed
P10,probe.metal,,__metal_get_candidate_instance_count_intersection_query,manual_needed
P10,probe.metal,,__metal_get_candidate_instance_id_intersection_query,manual_needed
P10,probe.metal,,__metal_get_candidate_intersection_type_intersection_query,manual_needed
P10,probe.metal,,__metal_get_candidate_object_to_world_transform_intersection_query,manual_needed
P10,probe.metal,,__metal_get_candidate_primitive_data_intersection_query,manual_needed
P10,probe.metal,,__metal_get_candidate_primitive_id_intersection_query,manual_needed
P10,probe.metal,,__metal_get_candidate_ray_direction_intersection_query,manual_needed
P10,probe.metal,,__metal_get_candidate_ray_origin_intersection_query,manual_needed
P10,probe.metal,,__metal_get_candidate_triangle_barycentric_coord_intersection_query,manual_needed
P10,probe.metal,,__metal_get_candidate_triangle_distance_intersection_query,manual_needed
P10,probe.metal,,__metal_get_candidate_user_instance_id_intersection_query,manual_needed
P10,probe.metal,,__metal_get_candidate_world_to_object_transform_intersection_query,manual_needed
P10,probe.metal,,__metal_get_committed_curve_parameter_intersection_query,manual_needed
P10,probe.metal,,__metal_get_committed_distance_intersection_query,manual_needed
P10,probe.metal,,__metal_get_committed_geometry_id_intersection_query,manual_needed
P10,probe.metal,,__metal_get_committed_instance_count_intersection_query,manual_needed
